name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"New York, NY, United States",2023-01-01T00:00:00,54.0,54.0,51.8,92.43,0.009,100,rain,0,0,8.1,1.9,295,1007.1,100.0,7.7,227,0.8,0,10,"Rain, Overcast",rain,"72505394728,KLGA,D2180,KNYC,72503014732"
"New York, NY, United States",2023-01-01T01:00:00,53.1,53.1,50.9,92.14,0.001,100,rain,0,0,9.2,6.1,220,1007.2,100.0,7.2,228,0.8,0,10,"Rain, Overcast",rain,"72505394728,KLGA,D2180,KNYC,72503014732"
"New York, NY, United States",2023-01-01T02:00:00,53.3,53.3,50.0,88.43,0.004,100,rain,0,0,10.3,9.0,235,1006.8,43.6,7.7,227,0.8,0,10,"Rain, Partially cloudy",rain,"72505394728,KLGA,D2180,KNYC,72503014732"
"New York, NY, United States",2023-01-01T03:00:00,52.6,52.6,49.7,89.82,0.0,0,,0,0,16.1,7.3,245,1007.8,13.4,9.0,224,0.8,0,10,Clear,clear-night,"72505394728,KLGA,D2180,KNYC,72503014732"
"New York, NY, United States",2023-01-01T04:00:00,53.3,53.3,48.6,83.95,0.0,0,,0,0,17.2,9.5,263,1008.1,7.2,9.9,222,0.8,0,10,Clear,clear-night,"72505394728,KLGA,D2180,KNYC,72503014732"
"New York, NY, United States",2023-01-01T05:00:00,52.3,52.3,47.4,83.37,0.0,0,,0,0,17.2,5.0,250,1008.5,7.2,9.9,224,0.8,0,10,Clear,clear-night,"72505394728,KLGA,D2180,KNYC,72503014732"
"New York, NY, United States",2023-01-01T06:00:00,51.7,51.7,47.1,84.44,0.0,0,,0,0,17.2,5.5,250,1009.3,7.2,9.9,224,0.8,0,10,Clear,clear-night,"72505394728,KLGA,D2180,KNYC,72503014732"
"New York, NY, United States",2023-01-01T07:00:00,51.4,51.4,45.8,81.14,0.0,0,,0,0,16.1,5.9,260,1010.2,13.4,9.9,1,0.0,0,10,Clear,clear-night,"72505394728,KLGA,F8726,KNYC,72503014732"
"New York, NY, United States",2023-01-01T08:00:00,50.0,47.3,43.2,77.56,0.0,0,,0,0,16.1,6.7,300,1010.8,13.4,9.9,21,0.1,0,10,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York, NY, United States",2023-01-01T09:00:00,50.3,50.3,41.5,71.79,0.0,0,,0,0,21.9,9.1,300,1011.6,19.3,9.9,103,0.4,1,10,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York, NY, United States",2023-01-01T10:00:00,51.8,51.8,39.8,63.49,0.0,0,,0,0,17.2,8.5,310,1013.3,19.3,9.9,271,1.0,3,10,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York, NY, United States",2023-01-01T11:00:00,52.6,52.6,38.3,58.14,0.0,0,,0,0,17.2,8.0,320,1013.8,19.3,9.9,362,1.3,4,10,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York, NY, United States",2023-01-01T12:00:00,51.8,51.8,36.8,56.43,0.0,0,,0,0,18.3,9.0,298,1013.1,13.4,9.9,447,1.6,4,10,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York, NY, United States",2023-01-01T13:00:00,52.8,52.8,36.6,53.92,0.0,0,,0,0,18.8,12.4,288,1013.5,7.2,9.9,436,1.6,4,10,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York, NY, United States",2023-01-01T14:00:00,53.7,53.7,34.8,48.59,0.0,0,,0,0,17.2,8.0,288,1013.2,7.2,9.9,331,1.2,3,10,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York, NY, United States",2023-01-01T15:00:00,53.1,53.1,31.7,43.9,0.0,0,,0,0,16.1,8.1,298,1013.5,13.4,9.9,263,0.9,3,10,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York, NY, United States",2023-01-01T16:00:00,52.6,52.6,31.1,43.77,0.0,0,,0,0,10.3,6.2,303,1013.9,7.2,9.9,70,0.3,1,10,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York, NY, United States",2023-01-01T17:00:00,52.1,52.1,30.8,43.94,0.0,0,,0,0,9.2,5.6,313,1014.4,94.8,9.9,8,0.0,0,10,Overcast,cloudy,"72505394728,KLGA,F1417,72503014732"
"New York, NY, United States",2023-01-01T18:00:00,50.9,50.9,30.8,46.05,0.0,0,,0,0,8.1,0.9,8,1014.7,7.2,9.9,15,0.1,0,10,Clear,clear-night,"72505394728,E5816,KLGA,KNYC,72503014732"
"New York, NY, United States",2023-01-01T19:00:00,50.0,50.0,30.8,47.56,0.0,0,,0,0,6.9,2.5,286,1015.6,7.2,9.9,220,0.8,0,10,Clear,clear-night,"72505394728,KLGA,D2180,KNYC,72503014732"
"New York, NY, United States",2023-01-01T20:00:00,50.9,50.9,33.5,51.3,0.0,0,,0,0,5.8,4.3,253,1016.1,7.2,9.9,219,0.8,0,10,Clear,clear-night,"72505394728,KLGA,D2180,KNYC,72503014732"
"New York, NY, United States",2023-01-01T21:00:00,50.9,50.9,33.8,51.96,0.0,0,,0,0,6.9,1.9,318,1016.7,88.8,9.9,220,0.8,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KLGA,D2180,KNYC,72503014732"
"New York, NY, United States",2023-01-01T22:00:00,51.2,51.2,33.1,49.86,0.0,0,,0,0,6.9,3.3,270,1016.8,94.8,9.9,220,0.8,0,10,Overcast,cloudy,"72505394728,KLGA,D2180,72503014732"
"New York, NY, United States",2023-01-01T23:00:00,51.2,51.2,34.8,53.39,0.0,0,,0,0,6.9,5.0,280,1017.0,100.0,9.9,221,0.8,0,10,Overcast,cloudy,"72505394728,KLGA,D2180,KNYC,72503014732"
"New York, NY, United States",2023-01-02T00:00:00,50.0,50.0,34.8,55.79,0.0,0,,0,0,6.9,0.0,0,1016.7,88.8,9.9,221,0.8,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KLGA,D2180,KNYC,72503014732"
"New York, NY, United States",2023-01-02T01:00:00,50.0,50.0,34.8,55.79,0.0,0,,0,0,6.9,0.0,0,1016.6,78.4,9.9,220,0.8,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KLGA,D2180,KNYC,72503014732"
"New York, NY, United States",2023-01-02T02:00:00,51.2,51.2,36.0,55.92,0.0,0,,0,0,6.9,4.3,300,1016.8,88.8,9.9,219,0.8,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KLGA,D2180,KNYC,72503014732"
"New York, NY, United States",2023-01-02T03:00:00,50.0,49.1,36.0,58.44,0.0,0,,0,0,6.9,3.7,290,1018.0,13.4,9.9,218,0.8,0,10,Clear,clear-night,"72505394728,KLGA,D2180,KNYC,72503014732"
"New York, NY, United States",2023-01-02T04:00:00,49.7,49.7,36.6,60.54,0.0,0,,0,0,6.9,1.6,337,1017.8,13.4,9.9,217,0.8,0,10,Clear,clear-night,"72505394728,KLGA,D2180,KNYC,72503014732"
"New York, NY, United States",2023-01-02T05:00:00,50.0,48.6,37.5,62.01,0.0,0,,0,0,5.8,4.3,253,1018.2,23.8,9.9,217,0.8,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KLGA,D2180,KNYC,72503014732"
"New York, NY, United States",2023-01-02T06:00:00,50.0,48.0,37.8,62.77,0.0,0,,0,0,5.8,5.3,300,1018.3,23.8,9.9,217,0.8,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KLGA,D2180,KNYC,72503014732"
"New York, NY, United States",2023-01-02T07:00:00,50.0,48.1,37.8,62.77,0.0,0,,0,0,5.8,5.2,263,1019.2,23.8,9.9,218,0.8,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KLGA,D2180,KNYC,72503014732"
"New York, NY, United States",2023-01-02T08:00:00,49.1,47.2,38.4,66.47,0.0,0,,0,0,5.8,5.0,253,1019.9,23.8,9.9,9,0.0,0,10,Partially cloudy,partly-cloudy-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York, NY, United States",2023-01-02T09:00:00,47.0,44.7,39.0,73.55,0.0,0,,0,0,5.8,5.0,310,1020.8,41.7,5.9,26,0.1,0,10,Partially cloudy,partly-cloudy-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York, NY, United States",2023-01-02T10:00:00,50.0,48.0,37.8,62.77,0.0,0,,0,0,6.9,5.3,310,1020.5,23.8,9.9,64,0.2,1,10,Partially cloudy,partly-cloudy-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York, NY, United States",2023-01-02T11:00:00,50.9,50.9,38.4,62.37,0.0,0,,0,0,6.9,4.0,273,1020.4,23.8,9.9,146,0.5,1,10,Partially cloudy,partly-cloudy-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York, NY, United States",2023-01-02T12:00:00,52.8,52.8,38.7,58.58,0.0,0,,0,0,9.2,3.4,330,1019.5,23.8,9.9,300,1.1,3,10,Partially cloudy,partly-cloudy-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York, NY, United States",2023-01-02T13:00:00,55.1,55.1,38.4,53.31,0.0,0,,0,0,10.3,5.3,270,1019.0,23.8,9.9,258,0.9,3,10,Partially cloudy,partly-cloudy-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York, NY, United States",2023-01-02T14:00:00,56.0,56.0,39.3,53.44,0.0,0,,0,0,6.9,4.3,250,1019.0,46.6,9.9,151,0.5,2,10,Partially cloudy,partly-cloudy-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York, NY, United States",2023-01-02T15:00:00,56.0,56.0,39.6,53.95,0.0,0,,0,0,6.9,7.5,245,1019.3,23.8,9.9,64,0.2,1,10,Partially cloudy,partly-cloudy-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York, NY, United States",2023-01-02T16:00:00,55.8,55.8,40.4,56.24,0.0,0,,0,0,5.8,6.1,241,1019.6,60.4,9.9,28,0.1,0,10,Partially cloudy,partly-cloudy-day,"72505394728,KLGA,F1417,KNYC,72503014732"
